Token,File,Matrix,TimePeriod
PNR_LOC_FARE,AM_DRV_LOC_Skim.omx,Fare,AM
PNR_LOC_IVT,AM_DRV_LOC_Skim.omx,In-Vehicle Time,AM
PNR_LOC_IWAIT,AM_DRV_LOC_Skim.omx,Initial Wait Time,AM
PNR_LOC_XWAIT,AM_DRV_LOC_Skim.omx,Transfer Wait Time,AM
PNR_LOC_XPEN,AM_DRV_LOC_Skim.omx,Transfer Penalty Time,AM
PNR_LOC_WAUX,AM_DRV_LOC_Skim.omx,Transfer Walk Time,AM
PNR_LOC_WACC,AM_DRV_LOC_Skim.omx,Access Walk Time,AM
PNR_LOC_WEGR,AM_DRV_LOC_Skim.omx,Egress Walk Time,AM
PNR_LOC_DTIME,AM_DRV_LOC_Skim.omx,Access Drive Time,AM
PNR_LOC_DDIST,AM_DRV_LOC_Skim.omx,Access Drive Distance,AM
PNR_LOC_DT,AM_DRV_LOC_Skim.omx,Dwelling Time,AM
PNR_LOC_NT,AM_DRV_LOC_Skim.omx,Number of Transfers,AM
PNR_LOC_IVTT_PMov,AM_DRV_LOC_Skim.omx,IVTT_PMov,AM
PNR_LOC_IVTT_Bus,AM_DRV_LOC_Skim.omx,IVTT_Bus,AM
PNR_LOC_IVTT_StCar,AM_DRV_LOC_Skim.omx,IVTT_StCar,AM
PNR_LOC_IVTT_Brt,AM_DRV_LOC_Skim.omx,IVTT_Brt,AM
PNR_LOC_IVTT_UrbRail,AM_DRV_LOC_Skim.omx,IVTT_UrbRail,AM
PNR_LOC_IVTT_ComRail,AM_DRV_LOC_Skim.omx,IVTT_ComRail,AM
PNR_PRM_GC,AM_DRV_PRM_Skim.omx,Generalized Cost,AM
PNR_PRM_FARE,AM_DRV_PRM_Skim.omx,Fare,AM
PNR_PRM_IVT,AM_DRV_PRM_Skim.omx,In-Vehicle Time,AM
PNR_PRM_IWAIT,AM_DRV_PRM_Skim.omx,Initial Wait Time,AM
PNR_PRM_XWAIT,AM_DRV_PRM_Skim.omx,Transfer Wait Time,AM
PNR_PRM_XPEN,AM_DRV_PRM_Skim.omx,Transfer Penalty Time,AM
PNR_PRM_WAUX,AM_DRV_PRM_Skim.omx,Transfer Walk Time,AM
PNR_PRM_WACC,AM_DRV_PRM_Skim.omx,Access Walk Time,AM
PNR_PRM_WEGR,AM_DRV_PRM_Skim.omx,Egress Walk Time,AM
PNR_PRM_DTIME,AM_DRV_PRM_Skim.omx,Access Drive Time,AM
PNR_PRM_DDIST,AM_DRV_PRM_Skim.omx,Access Drive Distance,AM
PNR_PRM_DT,AM_DRV_PRM_Skim.omx,Dwelling Time,AM
PNR_PRM_NT,AM_DRV_PRM_Skim.omx,Number of Transfers,AM
PNR_PRM_IVTT_PMov,AM_DRV_PRM_Skim.omx,IVTT_PMov,AM
PNR_PRM_IVTT_Bus,AM_DRV_PRM_Skim.omx,IVTT_Bus,AM
PNR_PRM_IVTT_StCar,AM_DRV_PRM_Skim.omx,IVTT_StCar,AM
PNR_PRM_IVTT_Brt,AM_DRV_PRM_Skim.omx,IVTT_Brt,AM
PNR_PRM_IVTT_UrbRail,AM_DRV_PRM_Skim.omx,IVTT_UrbRail,AM
PNR_PRM_IVTT_ComRail,AM_DRV_PRM_Skim.omx,IVTT_ComRail,AM
PNR_MIX_GC,AM_DRV_MIX_Skim.omx,Generalized Cost,AM
PNR_MIX_FARE,AM_DRV_MIX_Skim.omx,Fare,AM
PNR_MIX_IVT,AM_DRV_MIX_Skim.omx,In-Vehicle Time,AM
PNR_MIX_IWAIT,AM_DRV_MIX_Skim.omx,Initial Wait Time,AM
PNR_MIX_XWAIT,AM_DRV_MIX_Skim.omx,Transfer Wait Time,AM
PNR_MIX_XPEN,AM_DRV_MIX_Skim.omx,Transfer Penalty Time,AM
PNR_MIX_WAUX,AM_DRV_MIX_Skim.omx,Transfer Walk Time,AM
PNR_MIX_WACC,AM_DRV_MIX_Skim.omx,Access Walk Time,AM
PNR_MIX_WEGR,AM_DRV_MIX_Skim.omx,Egress Walk Time,AM
PNR_MIX_DTIME,AM_DRV_MIX_Skim.omx,Access Drive Time,AM
PNR_MIX_DDIST,AM_DRV_MIX_Skim.omx,Access Drive Distance,AM
PNR_MIX_DT,AM_DRV_MIX_Skim.omx,Dwelling Time,AM
PNR_MIX_NT,AM_DRV_MIX_Skim.omx,Number of Transfers,AM
PNR_MIX_IVTT_PMov,AM_DRV_MIX_Skim.omx,IVTT_PMov,AM
PNR_MIX_IVTT_Bus,AM_DRV_MIX_Skim.omx,IVTT_Bus,AM
PNR_MIX_IVTT_StCar,AM_DRV_MIX_Skim.omx,IVTT_StCar,AM
PNR_MIX_IVTT_Brt,AM_DRV_MIX_Skim.omx,IVTT_Brt,AM
PNR_MIX_IVTT_UrbRail,AM_DRV_MIX_Skim.omx,IVTT_UrbRail,AM
PNR_MIX_IVTT_ComRail,AM_DRV_MIX_Skim.omx,IVTT_ComRail,AM
KNR_LOC_GC,AM_KNR_LOC_Skim.omx,Generalized Cost,AM
KNR_LOC_FARE,AM_KNR_LOC_Skim.omx,Fare,AM
KNR_LOC_IVT,AM_KNR_LOC_Skim.omx,In-Vehicle Time,AM
KNR_LOC_IWAIT,AM_KNR_LOC_Skim.omx,Initial Wait Time,AM
KNR_LOC_XWAIT,AM_KNR_LOC_Skim.omx,Transfer Wait Time,AM
KNR_LOC_XPEN,AM_KNR_LOC_Skim.omx,Transfer Penalty Time,AM
KNR_LOC_WAUX,AM_KNR_LOC_Skim.omx,Transfer Walk Time,AM
KNR_LOC_WACC,AM_KNR_LOC_Skim.omx,Access Walk Time,AM
KNR_LOC_WEGR,AM_KNR_LOC_Skim.omx,Egress Walk Time,AM
KNR_LOC_DTIME,AM_KNR_LOC_Skim.omx,Access Drive Time,AM
KNR_LOC_DDIST,AM_KNR_LOC_Skim.omx,Access Drive Distance,AM
KNR_LOC_DT,AM_KNR_LOC_Skim.omx,Dwelling Time,AM
KNR_LOC_NT,AM_KNR_LOC_Skim.omx,Number of Transfers,AM
KNR_LOC_IVTT_PMov,AM_KNR_LOC_Skim.omx,IVTT_PMov,AM
KNR_LOC_IVTT_Bus,AM_KNR_LOC_Skim.omx,IVTT_Bus,AM
KNR_LOC_IVTT_StCar,AM_KNR_LOC_Skim.omx,IVTT_StCar,AM
KNR_LOC_IVTT_Brt,AM_KNR_LOC_Skim.omx,IVTT_Brt,AM
KNR_LOC_IVTT_UrbRail,AM_KNR_LOC_Skim.omx,IVTT_UrbRail,AM
KNR_LOC_IVTT_ComRail,AM_KNR_LOC_Skim.omx,IVTT_ComRail,AM
KNR_PRM_GC,AM_KNR_PRM_Skim.omx,Generalized Cost,AM
KNR_PRM_FARE,AM_KNR_PRM_Skim.omx,Fare,AM
KNR_PRM_IVT,AM_KNR_PRM_Skim.omx,In-Vehicle Time,AM
KNR_PRM_IWAIT,AM_KNR_PRM_Skim.omx,Initial Wait Time,AM
KNR_PRM_XWAIT,AM_KNR_PRM_Skim.omx,Transfer Wait Time,AM
KNR_PRM_XPEN,AM_KNR_PRM_Skim.omx,Transfer Penalty Time,AM
KNR_PRM_WAUX,AM_KNR_PRM_Skim.omx,Transfer Walk Time,AM
KNR_PRM_WACC,AM_KNR_PRM_Skim.omx,Access Walk Time,AM
KNR_PRM_WEGR,AM_KNR_PRM_Skim.omx,Egress Walk Time,AM
KNR_PRM_DTIME,AM_KNR_PRM_Skim.omx,Access Drive Time,AM
KNR_PRM_DDIST,AM_KNR_PRM_Skim.omx,Access Drive Distance,AM
KNR_PRM_DT,AM_KNR_PRM_Skim.omx,Dwelling Time,AM
KNR_PRM_NT,AM_KNR_PRM_Skim.omx,Number of Transfers,AM
KNR_PRM_IVTT_PMov,AM_KNR_PRM_Skim.omx,IVTT_PMov,AM
KNR_PRM_IVTT_Bus,AM_KNR_PRM_Skim.omx,IVTT_Bus,AM
KNR_PRM_IVTT_StCar,AM_KNR_PRM_Skim.omx,IVTT_StCar,AM
KNR_PRM_IVTT_Brt,AM_KNR_PRM_Skim.omx,IVTT_Brt,AM
KNR_PRM_IVTT_UrbRail,AM_KNR_PRM_Skim.omx,IVTT_UrbRail,AM
KNR_PRM_IVTT_ComRail,AM_KNR_PRM_Skim.omx,IVTT_ComRail,AM
KNR_MIX_GC,AM_KNR_MIX_Skim.omx,Generalized Cost,AM
KNR_MIX_FARE,AM_KNR_MIX_Skim.omx,Fare,AM
KNR_MIX_IVT,AM_KNR_MIX_Skim.omx,In-Vehicle Time,AM
KNR_MIX_IWAIT,AM_KNR_MIX_Skim.omx,Initial Wait Time,AM
KNR_MIX_XWAIT,AM_KNR_MIX_Skim.omx,Transfer Wait Time,AM
KNR_MIX_XPEN,AM_KNR_MIX_Skim.omx,Transfer Penalty Time,AM
KNR_MIX_WAUX,AM_KNR_MIX_Skim.omx,Transfer Walk Time,AM
KNR_MIX_WACC,AM_KNR_MIX_Skim.omx,Access Walk Time,AM
KNR_MIX_WEGR,AM_KNR_MIX_Skim.omx,Egress Walk Time,AM
KNR_MIX_DTIME,AM_KNR_MIX_Skim.omx,Access Drive Time,AM
KNR_MIX_DDIST,AM_KNR_MIX_Skim.omx,Access Drive Distance,AM
KNR_MIX_DT,AM_KNR_MIX_Skim.omx,Dwelling Time,AM
KNR_MIX_NT,AM_KNR_MIX_Skim.omx,Number of Transfers,AM
KNR_MIX_IVTT_PMov,AM_KNR_MIX_Skim.omx,IVTT_PMov,AM
KNR_MIX_IVTT_Bus,AM_KNR_MIX_Skim.omx,IVTT_Bus,AM
KNR_MIX_IVTT_StCar,AM_KNR_MIX_Skim.omx,IVTT_StCar,AM
KNR_MIX_IVTT_Brt,AM_KNR_MIX_Skim.omx,IVTT_Brt,AM
KNR_MIX_IVTT_UrbRail,AM_KNR_MIX_Skim.omx,IVTT_UrbRail,AM
KNR_MIX_IVTT_ComRail,AM_KNR_MIX_Skim.omx,IVTT_ComRail,AM
WLK_LOC_GC,MD_WLK_LOC_Skim.omx,Generalized Cost,MD
WLK_LOC_FARE,MD_WLK_LOC_Skim.omx,Fare,MD
WLK_LOC_IVT,MD_WLK_LOC_Skim.omx,In-Vehicle Time,MD
WLK_LOC_IWAIT,MD_WLK_LOC_Skim.omx,Initial Wait Time,MD
WLK_LOC_XWAIT,MD_WLK_LOC_Skim.omx,Transfer Wait Time,MD
WLK_LOC_XPEN,MD_WLK_LOC_Skim.omx,Transfer Penalty Time,MD
WLK_LOC_WAUX,MD_WLK_LOC_Skim.omx,Transfer Walk Time,MD
WLK_LOC_WACC,MD_WLK_LOC_Skim.omx,Access Walk Time,MD
WLK_LOC_WEGR,MD_WLK_LOC_Skim.omx,Egress Walk Time,MD
WLK_LOC_DT,MD_WLK_LOC_Skim.omx,Dwelling Time,MD
WLK_LOC_NT,MD_WLK_LOC_Skim.omx,Number of Transfers,MD
WLK_LOC_IVTT_PMov,MD_WLK_LOC_Skim.omx,IVTT_PMov,MD
WLK_LOC_IVTT_Bus,MD_WLK_LOC_Skim.omx,IVTT_Bus,MD
WLK_LOC_IVTT_StCar,MD_WLK_LOC_Skim.omx,IVTT_StCar,MD
WLK_LOC_IVTT_Brt,MD_WLK_LOC_Skim.omx,IVTT_Brt,MD
WLK_LOC_IVTT_UrbRail,MD_WLK_LOC_Skim.omx,IVTT_UrbRail,MD
WLK_LOC_IVTT_ComRail,MD_WLK_LOC_Skim.omx,IVTT_ComRail,MD
WLK_PRM_GC,MD_WLK_PRM_Skim.omx,Generalized Cost,MD
WLK_PRM_FARE,MD_WLK_PRM_Skim.omx,Fare,MD
WLK_PRM_IVT,MD_WLK_PRM_Skim.omx,In-Vehicle Time,MD
WLK_PRM_IWAIT,MD_WLK_PRM_Skim.omx,Initial Wait Time,MD
WLK_PRM_XWAIT,MD_WLK_PRM_Skim.omx,Transfer Wait Time,MD
WLK_PRM_XPEN,MD_WLK_PRM_Skim.omx,Transfer Penalty Time,MD
WLK_PRM_WAUX,MD_WLK_PRM_Skim.omx,Transfer Walk Time,MD
WLK_PRM_WACC,MD_WLK_PRM_Skim.omx,Access Walk Time,MD
WLK_PRM_WEGR,MD_WLK_PRM_Skim.omx,Egress Walk Time,MD
WLK_PRM_DT,MD_WLK_PRM_Skim.omx,Dwelling Time,MD
WLK_PRM_NT,MD_WLK_PRM_Skim.omx,Number of Transfers,MD
WLK_PRM_IVTT_PMov,MD_WLK_PRM_Skim.omx,IVTT_PMov,MD
WLK_PRM_IVTT_Bus,MD_WLK_PRM_Skim.omx,IVTT_Bus,MD
WLK_PRM_IVTT_StCar,MD_WLK_PRM_Skim.omx,IVTT_StCar,MD
WLK_PRM_IVTT_Brt,MD_WLK_PRM_Skim.omx,IVTT_Brt,MD
WLK_PRM_IVTT_UrbRail,MD_WLK_PRM_Skim.omx,IVTT_UrbRail,MD
WLK_PRM_IVTT_ComRail,MD_WLK_PRM_Skim.omx,IVTT_ComRail,MD
WLK_MIX_GC,MD_WLK_MIX_Skim.omx,Generalized Cost,MD
WLK_MIX_FARE,MD_WLK_MIX_Skim.omx,Fare,MD
WLK_MIX_IVT,MD_WLK_MIX_Skim.omx,In-Vehicle Time,MD
WLK_MIX_IWAIT,MD_WLK_MIX_Skim.omx,Initial Wait Time,MD
WLK_MIX_XWAIT,MD_WLK_MIX_Skim.omx,Transfer Wait Time,MD
WLK_MIX_XPEN,MD_WLK_MIX_Skim.omx,Transfer Penalty Time,MD
WLK_MIX_WAUX,MD_WLK_MIX_Skim.omx,Transfer Walk Time,MD
WLK_MIX_WACC,MD_WLK_MIX_Skim.omx,Access Walk Time,MD
WLK_MIX_WEGR,MD_WLK_MIX_Skim.omx,Egress Walk Time,MD
WLK_MIX_DT,MD_WLK_MIX_Skim.omx,Dwelling Time,MD
WLK_MIX_NT,MD_WLK_MIX_Skim.omx,Number of Transfers,MD
WLK_MIX_IVTT_PMov,MD_WLK_MIX_Skim.omx,IVTT_PMov,MD
WLK_MIX_IVTT_Bus,MD_WLK_MIX_Skim.omx,IVTT_Bus,MD
WLK_MIX_IVTT_StCar,MD_WLK_MIX_Skim.omx,IVTT_StCar,MD
WLK_MIX_IVTT_Brt,MD_WLK_MIX_Skim.omx,IVTT_Brt,MD
WLK_MIX_IVTT_UrbRail,MD_WLK_MIX_Skim.omx,IVTT_UrbRail,MD
WLK_MIX_IVTT_ComRail,MD_WLK_MIX_Skim.omx,IVTT_ComRail,MD
PNR_LOC_GC,MD_DRV_LOC_Skim.omx,Generalized Cost,MD
PNR_LOC_FARE,MD_DRV_LOC_Skim.omx,Fare,MD
PNR_LOC_IVT,MD_DRV_LOC_Skim.omx,In-Vehicle Time,MD
PNR_LOC_IWAIT,MD_DRV_LOC_Skim.omx,Initial Wait Time,MD
PNR_LOC_XWAIT,MD_DRV_LOC_Skim.omx,Transfer Wait Time,MD
PNR_LOC_XPEN,MD_DRV_LOC_Skim.omx,Transfer Penalty Time,MD
PNR_LOC_WAUX,MD_DRV_LOC_Skim.omx,Transfer Walk Time,MD
PNR_LOC_WACC,MD_DRV_LOC_Skim.omx,Access Walk Time,MD
PNR_LOC_WEGR,MD_DRV_LOC_Skim.omx,Egress Walk Time,MD
PNR_LOC_DTIME,MD_DRV_LOC_Skim.omx,Access Drive Time,MD
PNR_LOC_DDIST,MD_DRV_LOC_Skim.omx,Access Drive Distance,MD
PNR_LOC_DT,MD_DRV_LOC_Skim.omx,Dwelling Time,MD
PNR_LOC_NT,MD_DRV_LOC_Skim.omx,Number of Transfers,MD
PNR_LOC_IVTT_PMov,MD_DRV_LOC_Skim.omx,IVTT_PMov,MD
PNR_LOC_IVTT_Bus,MD_DRV_LOC_Skim.omx,IVTT_Bus,MD
PNR_LOC_IVTT_StCar,MD_DRV_LOC_Skim.omx,IVTT_StCar,MD
PNR_LOC_IVTT_Brt,MD_DRV_LOC_Skim.omx,IVTT_Brt,MD
PNR_LOC_IVTT_UrbRail,MD_DRV_LOC_Skim.omx,IVTT_UrbRail,MD
PNR_LOC_IVTT_ComRail,MD_DRV_LOC_Skim.omx,IVTT_ComRail,MD
PNR_PRM_GC,MD_DRV_PRM_Skim.omx,Generalized Cost,MD
PNR_PRM_FARE,MD_DRV_PRM_Skim.omx,Fare,MD
PNR_PRM_IVT,MD_DRV_PRM_Skim.omx,In-Vehicle Time,MD
PNR_PRM_IWAIT,MD_DRV_PRM_Skim.omx,Initial Wait Time,MD
PNR_PRM_XWAIT,MD_DRV_PRM_Skim.omx,Transfer Wait Time,MD
PNR_PRM_XPEN,MD_DRV_PRM_Skim.omx,Transfer Penalty Time,MD
PNR_PRM_WAUX,MD_DRV_PRM_Skim.omx,Transfer Walk Time,MD
PNR_PRM_WACC,MD_DRV_PRM_Skim.omx,Access Walk Time,MD
PNR_PRM_WEGR,MD_DRV_PRM_Skim.omx,Egress Walk Time,MD
PNR_PRM_DTIME,MD_DRV_PRM_Skim.omx,Access Drive Time,MD
PNR_PRM_DDIST,MD_DRV_PRM_Skim.omx,Access Drive Distance,MD
PNR_PRM_DT,MD_DRV_PRM_Skim.omx,Dwelling Time,MD
PNR_PRM_NT,MD_DRV_PRM_Skim.omx,Number of Transfers,MD
PNR_PRM_IVTT_PMov,MD_DRV_PRM_Skim.omx,IVTT_PMov,MD
PNR_PRM_IVTT_Bus,MD_DRV_PRM_Skim.omx,IVTT_Bus,MD
PNR_PRM_IVTT_StCar,MD_DRV_PRM_Skim.omx,IVTT_StCar,MD
PNR_PRM_IVTT_Brt,MD_DRV_PRM_Skim.omx,IVTT_Brt,MD
PNR_PRM_IVTT_UrbRail,MD_DRV_PRM_Skim.omx,IVTT_UrbRail,MD
PNR_PRM_IVTT_ComRail,MD_DRV_PRM_Skim.omx,IVTT_ComRail,MD
PNR_MIX_GC,MD_DRV_MIX_Skim.omx,Generalized Cost,MD
PNR_MIX_FARE,MD_DRV_MIX_Skim.omx,Fare,MD
PNR_MIX_IVT,MD_DRV_MIX_Skim.omx,In-Vehicle Time,MD
PNR_MIX_IWAIT,MD_DRV_MIX_Skim.omx,Initial Wait Time,MD
PNR_MIX_XWAIT,MD_DRV_MIX_Skim.omx,Transfer Wait Time,MD
PNR_MIX_XPEN,MD_DRV_MIX_Skim.omx,Transfer Penalty Time,MD
PNR_MIX_WAUX,MD_DRV_MIX_Skim.omx,Transfer Walk Time,MD
PNR_MIX_WACC,MD_DRV_MIX_Skim.omx,Access Walk Time,MD
PNR_MIX_WEGR,MD_DRV_MIX_Skim.omx,Egress Walk Time,MD
PNR_MIX_DTIME,MD_DRV_MIX_Skim.omx,Access Drive Time,MD
PNR_MIX_DDIST,MD_DRV_MIX_Skim.omx,Access Drive Distance,MD
PNR_MIX_DT,MD_DRV_MIX_Skim.omx,Dwelling Time,MD
PNR_MIX_NT,MD_DRV_MIX_Skim.omx,Number of Transfers,MD
PNR_MIX_IVTT_PMov,MD_DRV_MIX_Skim.omx,IVTT_PMov,MD
PNR_MIX_IVTT_Bus,MD_DRV_MIX_Skim.omx,IVTT_Bus,MD
PNR_MIX_IVTT_StCar,MD_DRV_MIX_Skim.omx,IVTT_StCar,MD
PNR_MIX_IVTT_Brt,MD_DRV_MIX_Skim.omx,IVTT_Brt,MD
PNR_MIX_IVTT_UrbRail,MD_DRV_MIX_Skim.omx,IVTT_UrbRail,MD
PNR_MIX_IVTT_ComRail,MD_DRV_MIX_Skim.omx,IVTT_ComRail,MD
KNR_LOC_GC,MD_KNR_LOC_Skim.omx,Generalized Cost,MD
KNR_LOC_FARE,MD_KNR_LOC_Skim.omx,Fare,MD
KNR_LOC_IVT,MD_KNR_LOC_Skim.omx,In-Vehicle Time,MD
KNR_LOC_IWAIT,MD_KNR_LOC_Skim.omx,Initial Wait Time,MD
KNR_LOC_XWAIT,MD_KNR_LOC_Skim.omx,Transfer Wait Time,MD
KNR_LOC_XPEN,MD_KNR_LOC_Skim.omx,Transfer Penalty Time,MD
KNR_LOC_WAUX,MD_KNR_LOC_Skim.omx,Transfer Walk Time,MD
KNR_LOC_WACC,MD_KNR_LOC_Skim.omx,Access Walk Time,MD
KNR_LOC_WEGR,MD_KNR_LOC_Skim.omx,Egress Walk Time,MD
KNR_LOC_DTIME,MD_KNR_LOC_Skim.omx,Access Drive Time,MD
KNR_LOC_DDIST,MD_KNR_LOC_Skim.omx,Access Drive Distance,MD
KNR_LOC_DT,MD_KNR_LOC_Skim.omx,Dwelling Time,MD
KNR_LOC_NT,MD_KNR_LOC_Skim.omx,Number of Transfers,MD
KNR_LOC_IVTT_PMov,MD_KNR_LOC_Skim.omx,IVTT_PMov,MD
KNR_LOC_IVTT_Bus,MD_KNR_LOC_Skim.omx,IVTT_Bus,MD
KNR_LOC_IVTT_StCar,MD_KNR_LOC_Skim.omx,IVTT_StCar,MD
KNR_LOC_IVTT_Brt,MD_KNR_LOC_Skim.omx,IVTT_Brt,MD
KNR_LOC_IVTT_UrbRail,MD_KNR_LOC_Skim.omx,IVTT_UrbRail,MD
KNR_LOC_IVTT_ComRail,MD_KNR_LOC_Skim.omx,IVTT_ComRail,MD
KNR_PRM_GC,MD_KNR_PRM_Skim.omx,Generalized Cost,MD
