LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK
4018,0,50-0106,2017,42554.5,39732,2822,893,2468,1,Interstate Freeway,3,Urban,Interstate,4,Macomb,2000+,500-999,2000+
4943,0,50-0106,2017,42554.5,39732,2822,893,2468,1,Interstate Freeway,3,Urban,Interstate,4,Macomb,2000+,500-999,2000+
6041,0,50-0107,2019,14169,13290,879,241,638,4,Minor Arterial,5,Rural,Other Road,4,Macomb,500-999,200-499,500-999
19877,0,50-0111,2017,22487.5,21362.5,1125,0,0,2,Other Freeway,4,Suburban,Freeway/Prin. Art.,4,Macomb,0-99,0-99,0-99
6145,0,50-0116,2018,43654.5,42039,1615,786,786,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,500-999,1000-1999
6927,0,50-0116,2018,43654.5,42039,1615,786,786,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,500-999,1000-1999
6698,0,50-0120,2017,55993,53977,2016,784,1064,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,1000-1999,500-999,1000-1999
5381,0,50-0121,2017,44271,42589,1682,664,885,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,500-999,1000-1999
6340,1,50-0144,2018,19200,18204,995,349,603,3,Principal Arterial,5,Rural,Freeway/Prin. Art.,4,Macomb,500-999,200-499,500-999
20699,1,50-0144,2018,19200,18204,995,349,603,3,Principal Arterial,5,Rural,Freeway/Prin. Art.,4,Macomb,500-999,200-499,500-999
6442,0,50-0169,2019,27601.5,26359.5,1242,441,717,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,1000-1999
20120,0,50-0169,2019,27601.5,26359.5,1242,441,717,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,1000-1999
4046,0,50-0187,2017,76180,72811,3369,1523,4265,1,Interstate Freeway,3,Urban,Interstate,4,Macomb,2000+,1000-1999,2000+
4163,0,50-0187,2017,76180,72811,3369,1523,4265,1,Interstate Freeway,3,Urban,Interstate,4,Macomb,2000+,1000-1999,2000+
5118,0,50-0200,2019,2867,2752,115,72,32,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
4041,0,50-0202,2017,61752,58627.5,3124,1297,3767,1,Interstate Freeway,3,Urban,Interstate,4,Macomb,2000+,1000-1999,2000+
5040,0,50-0202,2017,61752,58627.5,3124,1297,3767,1,Interstate Freeway,3,Urban,Interstate,4,Macomb,2000+,1000-1999,2000+
5614,1,50-0227,2019,45252,44112.5,1139,590,452,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,1000-1999
6084,1,50-0227,2019,45252,44112.5,1139,590,452,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,1000-1999
6498,1,50-0311,2018,16114,15617,496,224,255,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,200-499,200-499
6255,0,50-0314,2017,4973,4833,140,70,65,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,100-199
6676,0,50-0315,2017,2686,2591,95,49,43,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
5153,0,50-0338,2019,3360,3227,133,84,36,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
5133,0,50-0354,2018,16612,15583,1009,283,747,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,500-999,200-499,1000-1999
5126,0,50-0361,2019,17998,17278,720,450,198,5,Major Collector,3,Urban,Other Road,4,Macomb,100-199,200-499,500-999
5408,0,50-0473,2017,17307,16337,970,363,538,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,500-999
4332,0,50-0474,2017,9376,9152,224,113,102,5,Major Collector,3,Urban,Other Road,4,Macomb,100-199,100-199,200-499
6623,0,50-0475,2019,24653,24111,542,320,173,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
3898,0,50-0476,2017,8136,7893,243,146,89,4,Minor Arterial,3,Urban,Other Road,4,Macomb,0-99,100-199,200-499
20050,0,50-0477,2017,4737,4603,134,67,62,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
5135,0,50-0488,2017,5080,4944,136,66,65,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
6730,0,50-0489,2017,6230,6062,168,81,81,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
6143,0,50-0497,2017,4452,4275,177,107,66,4,Minor Arterial,3,Urban,Other Road,4,Macomb,0-99,100-199,100-199
20803,0,50-0511,2017,3679,3571,108,55,49,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
6648,0,50-0519,2019,37729,36900,829,490,264,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
5503,0,50-0527,2017,2819,2723,96,48,45,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,0-99
3912,0,50-0808,2019,32132.5,29208.5,2924,514,2378,1,Interstate Freeway,4,Suburban,Interstate,4,Macomb,2000+,500-999,2000+
4568,0,50-0808,2019,32132.5,29208.5,2924,514,2378,1,Interstate Freeway,4,Suburban,Interstate,4,Macomb,2000+,500-999,2000+
4412,0,50-1616,2019,27246,25612,1634,572,926,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,500-999,1000-1999
40714,0,50-3607,2018,17008,15954,1054,289,765,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,500-999,200-499,1000-1999
6364,0,50-4642,2017,16414,15494,920,344,510,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,500-999
20214,0,50-4664,2019,13848,13447,401,194,69,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,0-99,100-199,200-499
20167,0,50-4695,2019,9013,8752,261,126,45,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,0-99,100-199,100-199
6173,1,50-4709,2019,15823,15374,449,221,74,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,0-99,200-499,200-499
5248,0,50-5001,2019,18924,18185,739,454,209,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,200-499,500-999
5243,0,50-5003,2019,20256,19466,790,486,223,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,200-499,500-999
5235,0,50-5004,2019,24305,23358,947,583,267,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
5259,0,50-5005,2019,26994,25941,1053,648,297,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
5253,0,50-5007,2019,25041,24065,976,601,275,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
6869,0,50-5010,2019,18885,18148,737,453,208,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,200-499,500-999
6744,1,50-5018,2018,31216,30550,666,375,188,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,100-199,200-499,500-999
6641,1,50-5019,2018,23228,22767,461,312,93,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,0-99,200-499,200-499
6640,1,50-5020,2018,20056,19706,350,235,60,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,0-99,200-499,200-499
6714,1,50-5022,2018,27918,27277,641,374,188,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,100-199,200-499,500-999
6652,1,50-5023,2018,36803,35890,913,529,306,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,500-999
6751,1,50-5024,2018,32794,32181,613,377,154,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,100-199,200-499,500-999
5443,0,50-5025,2019,11028.5,10599,429,264,121,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,200-499
20690,0,50-5025,2019,11028.5,10599,429,264,121,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,200-499
6450,0,50-5026,2019,26023,25009,1014,624,286,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
6547,0,50-5027,2019,24625,23663,962,591,272,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
6368,0,50-5030,2019,19189,18440,749,461,211,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,200-499,500-999
6523,0,50-5032,2019,24787,23820,967,595,273,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
4255,1,50-5034,2018,24276,23694,582,313,154,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,100-199,200-499,200-499
4363,1,50-5035,2018,8857,8551,306,153,133,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,100-199,100-199,200-499
4349,1,50-5036,2018,9601,9149,451,179,242,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,200-499,100-199,200-499
4656,1,50-5037,2018,18159,17432,726,296,419,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
4194,1,50-5038,2018,37275,35769,1506,669,684,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,500-999,1000-1999
6136,0,50-5039,2019,29709,28549,1160,714,327,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,500-999,1000-1999
5771,0,50-5040,2019,24450,23497,953,587,268,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,500-999,500-999
40684,1,50-5041,2019,30383,29583,800,475,194,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
6046,0,50-5042,2019,30719,29520,1199,738,338,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,500-999,1000-1999
5874,0,50-5043,2019,21834,20981,853,525,241,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,500-999,500-999
6482,0,50-5044,2019,5535,5311,224,139,63,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
4961,0,50-5046,2018,6190,5901,288,29,30,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
5863,0,50-5049,2019,15973,15349,624,384,176,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
20519,1,50-5050,2019,17312.5,16352,960,344,611,5,Major Collector,4,Suburban,Other Road,4,Macomb,500-999,200-499,500-999
20577,1,50-5050,2019,17312.5,16352,960,344,611,5,Major Collector,4,Suburban,Other Road,4,Macomb,500-999,200-499,500-999
6758,0,50-5051,2019,1830,1797,33,33,0,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
4601,0,50-5053,2018,6137,5991,145,19,26,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
6962,1,50-5054,2018,18730,17908,821,241,435,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
37509,0,50-5058,2019,5576,5507,69,52,16,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
37511,0,50-5058,2019,5576,5507,69,52,16,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
4219,0,50-5059,2018,23417,22978,439,155,29,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
4946,0,50-5060,2019,20755,19945,810,498,229,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,200-499,500-999
6283,0,50-5062,2019,11853,11638,215,195,9,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
5460,0,50-5063,2019,25813,24806,1007,620,284,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,500-999,500-999
5997,0,50-5064,2018,15626,15452,174,112,26,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
5965,0,50-5065,2019,9943,9820,123,106,13,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
6401,0,50-5067,2019,6750,6602,148,126,21,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
39282,0,50-5068,2019,4779,4588,191,119,53,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
6773,0,50-5069,2019,14462,13899,563,347,158,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
6780,0,50-5070,2019,17920,17220,700,430,198,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
6795,0,50-5072,2019,9420,9054,366,225,103,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6352,0,50-5073,2019,17777,17083,694,427,196,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
6356,0,50-5074,2019,19428,18672,756,465,213,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,200-499,500-999
6784,0,50-5075,2019,9219,8860,359,221,101,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6668,1,50-5076,2018,27430,26439,990,435,513,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,500-999
6754,1,50-5077,2018,19232,18457,774,295,382,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
6713,1,50-5078,2018,32290,31017,1273,655,363,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,1000-1999
6454,0,50-5079,2019,4497,4320,177,112,47,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
5611,1,50-5080,2018,15140,14767,372,102,122,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,100-199,200-499
6520,0,50-5081,2019,14187,13634,553,340,156,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
20063,0,50-5082,2019,8666,8327,339,208,96,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,200-499,200-499
5568,0,50-5085,2019,12825,12325,500,308,141,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6865,1,50-5086,2018,17113,16649,463,227,123,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6611,0,50-5087,2019,10609,10194,415,255,118,4,Minor Arterial,5,Rural,Other Road,4,Macomb,100-199,200-499,200-499
6656,0,50-5089,2019,17348,16673,675,416,190,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
6157,0,50-5090,2019,11803,11343,460,283,130,4,Minor Arterial,5,Rural,Other Road,4,Macomb,100-199,200-499,200-499
6633,0,50-5091,2019,9917,9529,388,238,110,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6634,0,50-5092,2019,15275,14680,595,366,168,4,Minor Arterial,5,Rural,Other Road,4,Macomb,100-199,200-499,500-999
5862,1,50-5093,2018,11690,11409,280,102,100,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,100-199,100-199,200-499
20737,1,50-5093,2018,11690,11409,280,102,100,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,100-199,100-199,200-499
6567,0,50-5094,2019,12286,11808,478,294,135,4,Minor Arterial,5,Rural,Other Road,4,Macomb,100-199,200-499,200-499
6562,0,50-5095,2019,11508,11057,451,277,128,4,Minor Arterial,5,Rural,Other Road,4,Macomb,100-199,200-499,200-499
5843,0,50-5096,2019,2650,2543,107,66,30,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
20693,0,50-5098,2019,1521,1458,63,38,19,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
20744,0,50-5099,2018,3742,3666,75,36,13,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
5953,0,50-5101,2019,5321,5109,212,133,58,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
6850,0,50-5102,2019,5193,4985,208,130,57,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,100-199,100-199
6802,0,50-5105,2019,17225,16554,671,413,189,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
20766,1,50-5110,2018,2207,2036,170,49,119,5,Major Collector,4,Suburban,Other Road,4,Macomb,100-199,0-99,100-199
6066,0,50-5112,2019,2669,2561,108,67,30,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
5980,0,50-5113,2019,1681,1613,68,42,19,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
5372,0,50-5114,2019,14423,13862,561,345,158,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,500-999
5333,0,50-5115,2019,11022,10593,429,264,121,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,200-499
5361,0,50-5116,2019,16710,16057,653,402,184,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,500-999
5347,1,50-5117,2019,23901,23414,487,273,88,4,Minor Arterial,3,Urban,Other Road,4,Macomb,0-99,200-499,200-499
5365,0,50-5119,2019,17514,16829,685,421,194,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,500-999
6796,1,50-5121,2018,8782,8561,220,92,74,4,Minor Arterial,5,Rural,Other Road,4,Macomb,0-99,0-99,100-199
5972,0,50-5122,2019,4165,3999,166,104,45,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,100-199,100-199
6407,0,50-5123,2019,2315,2223,92,58,25,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
6428,0,50-5124,2019,2285,2195,90,57,24,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
5518,0,50-5126,2019,7810,7498,312,195,86,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,100-199,200-499
5522,0,50-5127,2019,5008,4808,200,125,55,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
6838,0,50-5128,2019,13603,13071,532,327,151,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6178,0,50-5130,2019,1682,1614,68,42,19,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,0-99
6882,0,50-5132,2019,2741,2630,111,69,31,5,Major Collector,5,Rural,Other Road,7,St Clair,0-99,0-99,100-199
6070,0,50-5133,2019,6469,6218,251,155,70,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
6287,0,50-5134,2018,1283,1234,48,27,25,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
5575,0,50-5136,2019,1118,1074,44,28,12,5,Major Collector,5,Rural,Other Road,4,Macomb,0-99,0-99,0-99
6322,0,50-5138,2019,4429,4254,175,110,47,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,100-199
6133,0,50-5139,2018,5247,5125,121,62,30,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
5833,0,50-5141,2019,9411,9046,365,225,102,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
5848,0,50-5142,2019,11984,11516,468,288,132,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
20445,0,50-5143,2019,6847,6579,268,165,76,4,Minor Arterial,5,Rural,Other Road,4,Macomb,0-99,100-199,200-499
20856,1,50-5145,2018,16572,16281,290,187,95,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
5855,1,50-5147,2018,35391,34477,914,545,91,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,0-99,500-999,500-999
6788,0,50-5148,2018,17820,16840,928,319,585,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,500-999
20682,0,50-5149,2019,4164,4003,161,99,45,4,Minor Arterial,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
6012,0,50-5153,2019,22588,21705,883,543,250,4,Minor Arterial,3,Urban,Other Road,4,Macomb,200-499,500-999,500-999
6786,0,50-5157,2019,8303,7980,323,199,91,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
6600,0,50-5160,2018,4070,3965,105,69,32,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
8691,0,50-5162,2019,9784,9392,392,245,108,5,Major Collector,5,Rural,Other Road,7,St Clair,100-199,200-499,200-499
4429,1,50-5168,2019,38505,37302,1203,728,381,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,1000-1999
4382,1,50-5169,2019,33921,32763,1158,701,376,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,1000-1999
5641,0,50-5172,2019,7028,6748,280,175,77,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
20571,1,50-5173,2019,19904,19143,761,368,367,5,Major Collector,4,Suburban,Other Road,4,Macomb,200-499,200-499,500-999
6682,0,50-5175,2019,7565,7260,305,190,85,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,100-199,200-499
6588,0,50-5176,2018,4105,3993,111,40,12,5,Major Collector,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
5933,0,50-5178,2019,10283,9873,410,257,112,5,Major Collector,4,Suburban,Other Road,4,Macomb,100-199,200-499,200-499
6778,0,50-5182,2018,3390,3299,91,54,30,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,0-99,0-99
4274,1,50-5186,2018,15286,14927,358,152,183,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,100-199,100-199,200-499
4799,0,50-5187,2019,17894,17196,698,429,197,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,200-499,500-999
4271,1,50-5188,2018,34084,33525,559,327,80,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,0-99,200-499,200-499
